split,model,wape,bias,mean_rmsse
test,Gradient boosting,0.43913781772866844,0.044229547726010295,0.6978651491232838
test,Weekday mean 56d,0.43720350538613634,-0.05513684993216598,0.7226525886785641
test,Weekly seasonal naive,0.5061106045077542,-0.02741493361227477,0.8787456038702813
validation,Gradient boosting,0.49729490753648725,0.11306225845078083,0.7090632768257644
validation,Weekday mean 56d,0.564788764133126,0.11677989830952416,0.7795892269093349
validation,Weekly seasonal naive,0.5966095114133693,0.006226007140387679,0.8947162626337571
